Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,0,1,CFD-WM-026-001-N_degraded.jpg,0.533998704981059,1,White,Male,Multiracial,Male
1,0,1,CFD-LF-223-064-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
1,0,1,CFD-AF-211-066-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
1,0,1,CFD-WM-026-001-N_degraded.jpg,0.59369937700103,1,White,Male,Multiracial,Male
1,0,1,CFD-WM-026-001-N_degraded.jpg,0.569942417991115,1,White,Male,Multiracial,Male
1,0,1,CFD-AM-203-086-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
1,0,1,CFD-BM-233-285-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
1,0,1,CFD-BF-230-189-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Male
1,0,1,CFD-AM-214-168-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
1,0,1,CFD-WF-013-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
2,0,1,CFD-AM-211-052-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
2,0,1,CFD-AF-236-145-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
2,0,1,CFD-AM-240-191-N_degraded.jpg,0.641358937020414,1,Asian,Male,Multiracial,Male
2,0,1,CFD-AM-240-191-N_degraded.jpg,0.68971259999671,1,Asian,Male,Multiracial,Male
2,0,1,CFD-BM-222-173-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
2,0,1,CFD-WF-027-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
2,0,1,CFD-AM-240-191-N_degraded.jpg,0.537161299987929,1,Asian,Male,Multiracial,Male
2,0,1,CFD-LF-211-003-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
2,0,1,CFD-WM-245-123-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
2,0,1,CFD-WM-017-002-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
3,0,1,CFD-LF-224-176-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
3,0,1,CFD-BM-221-198-N_degraded.jpg,0.645312435022788,1,Black,Male,Multiracial,Male
3,0,1,CFD-WM-016-001-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
3,0,1,CFD-BM-221-198-N_degraded.jpg,0.426619522011606,1,Black,Male,Multiracial,Male
3,0,1,CFD-AM-208-143-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
3,0,1,CFD-WF-208-068-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
3,0,1,CFD-AM-205-153-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
3,0,1,CFD-BM-221-198-N_degraded.jpg,0.534325685992371,1,Black,Male,Multiracial,Male
3,0,1,CFD-BF-204-189-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Male
3,0,1,CFD-AM-223-138-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
4,0,1,CFD-AM-224-126-N_degraded.jpg,0.470525782991899,1,Asian,Male,Multiracial,Male
4,0,1,CFD-AF-226-251-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
4,0,1,CFD-AM-224-126-N_degraded.jpg,0.673654860991519,1,Asian,Male,Multiracial,Male
4,0,1,CFD-BM-239-136-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
4,0,1,CFD-AM-224-126-N_degraded.jpg,0.536506681994069,1,Asian,Male,Multiracial,Male
4,0,1,CFD-BM-214-075-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
